character,center_x,center_y,bbox_x1,bbox_y1,bbox_x2,bbox_y2,line_break,idx,text_id,language
I,107,99,101,111,113,87,0,0,1,en
n,122,101,116,113,128,89,0,1,1,en
a,153,101,147,113,159,89,0,3,1,en
n,167,101,161,113,173,89,0,4,1,en
c,182,101,176,113,188,89,0,5,1,en
i,197,99,191,111,203,87,0,6,1,en
e,213,101,207,113,219,89,0,7,1,en
n,227,101,221,113,233,89,0,8,1,en
t,242,99,236,111,248,87,0,9,1,en
R,273,99,267,111,279,87,0,11,1,en
o,287,101,281,113,293,89,0,12,1,en
m,302,101,296,113,308,89,0,13,1,en
a,318,101,312,113,324,89,0,14,1,en
n,332,101,326,113,338,89,0,15,1,en
r,364,101,358,113,370,89,0,17,1,en
e,378,101,372,113,384,89,0,18,1,en
l,392,98,386,110,398,86,0,19,1,en
i,407,99,401,111,413,87,0,20,1,en
g,422,104,416,116,428,92,0,21,1,en
i,437,99,431,111,443,87,0,22,1,en
o,452,101,446,113,458,89,0,23,1,en
n,467,101,461,113,473,89,0,24,1,en
a,498,101,492,113,504,89,0,26,1,en
n,512,101,506,113,518,89,0,27,1,en
d,527,98,521,110,533,86,0,28,1,en
m,557,101,551,113,563,89,0,30,1,en
y,572,104,566,116,578,92,0,31,1,en
t,587,99,581,111,593,87,0,32,1,en
h,602,98,596,110,608,86,0,33,1,en
,,616,108,610,120,622,96,0,34,1,en
J,647,99,641,111,653,87,0,36,1,en
a,663,101,657,113,669,89,0,37,1,en
n,677,101,671,113,683,89,0,38,1,en
u,692,101,686,113,698,89,0,39,1,en
s,707,101,701,113,713,89,0,40,1,en
i,737,99,731,111,743,87,0,42,1,en
s,752,101,746,113,758,89,0,43,1,en
t,782,99,776,111,788,87,0,45,1,en
h,797,98,791,110,803,86,0,46,1,en
e,813,101,807,113,819,89,0,47,1,en
g,842,104,836,116,848,92,0,49,1,en
o,857,101,851,113,863,89,0,50,1,en
d,872,98,866,110,878,86,0,51,1,en
o,902,101,896,113,908,89,0,53,1,en
f,917,98,911,110,923,86,0,54,1,en
b,948,98,942,110,954,86,0,56,1,en
e,963,101,957,113,969,89,0,57,1,en
g,977,104,971,116,983,92,0,58,1,en
i,992,99,986,111,998,87,0,59,1,en
n,1007,101,1001,113,1013,89,0,60,1,en
n,1022,101,1016,113,1028,89,0,61,1,en
i,1037,99,1031,111,1043,87,0,62,1,en
n,1052,101,1046,113,1058,89,0,63,1,en
g,1067,104,1061,116,1073,92,0,64,1,en
s,1082,101,1076,113,1088,89,0,65,1,en
a,1113,101,1107,113,1119,89,0,67,1,en
n,1127,101,1121,113,1133,89,0,68,1,en
d,1142,98,1136,110,1148,86,0,69,1,en
g,1172,104,1166,116,1178,92,0,71,1,en
a,1188,101,1182,113,1194,89,0,72,1,en
t,1202,99,1196,111,1208,87,0,73,1,en
e,1218,101,1212,113,1224,89,0,74,1,en
s,1232,101,1226,113,1238,89,0,75,1,en
.,1247,106,1241,118,1253,94,0,76,1,en
H,1277,99,1271,111,1283,87,0,78,1,en
e,1293,101,1287,113,1299,89,0,79,1,en
h,1322,98,1316,110,1328,86,0,81,1,en
a,1338,101,1332,113,1344,89,0,82,1,en
s,1352,101,1346,113,1358,89,0,83,1,en
a,1383,101,1377,113,1389,89,0,85,1,en
d,1412,98,1406,110,1418,86,0,87,1,en
o,1427,101,1421,113,1433,89,0,88,1,en
u,1442,101,1436,113,1448,89,0,89,1,en
b,1458,98,1452,110,1464,86,0,90,1,en
l,1472,98,1466,110,1478,86,0,91,1,en
e,1488,101,1482,113,1494,89,0,92,1,en
n,1517,101,1511,113,1523,89,0,94,1,en
a,1533,101,1527,113,1539,89,0,95,1,en
t,1547,99,1541,111,1553,87,0,96,1,en
u,1562,101,1556,113,1568,89,0,97,1,en
r,1579,101,1573,113,1585,89,0,98,1,en
e,1593,101,1587,113,1599,89,0,99,1,en
a,1623,101,1617,113,1629,89,0,101,1,en
n,1637,101,1631,113,1643,89,0,102,1,en
d,1652,98,1646,110,1658,86,0,103,1,en
i,1682,99,1676,111,1688,87,0,105,1,en
s,1697,101,1691,113,1703,89,0,106,1,en
u,107,150,101,162,113,138,0,108,1,en
s,122,150,116,162,128,138,0,109,1,en
u,137,150,131,162,143,138,0,110,1,en
a,153,150,147,162,159,138,0,111,1,en
l,167,147,161,159,173,135,0,112,1,en
l,182,147,176,159,188,135,0,113,1,en
y,197,153,191,165,203,141,0,114,1,en
d,227,147,221,159,233,135,0,116,1,en
e,243,150,237,162,249,138,0,117,1,en
p,258,153,252,165,264,141,0,118,1,en
i,272,148,266,160,278,136,0,119,1,en
c,287,150,281,162,293,138,0,120,1,en
t,302,148,296,160,308,136,0,121,1,en
e,318,150,312,162,324,138,0,122,1,en
d,332,147,326,159,338,135,0,123,1,en
a,363,150,357,162,369,138,0,125,1,en
s,377,150,371,162,383,138,0,126,1,en
h,407,147,401,159,413,135,0,128,1,en
a,423,150,417,162,429,138,0,129,1,en
v,437,150,431,162,443,138,0,130,1,en
i,452,148,446,160,458,136,0,131,1,en
n,467,150,461,162,473,138,0,132,1,en
g,482,153,476,165,488,141,0,133,1,en
t,512,148,506,160,518,136,0,135,1,en
w,527,150,521,162,533,138,0,136,1,en
o,542,150,536,162,548,138,0,137,1,en
f,572,147,566,159,578,135,0,139,1,en
a,588,150,582,162,594,138,0,140,1,en
c,602,150,596,162,608,138,0,141,1,en
e,618,150,612,162,624,138,0,142,1,en
s,632,150,626,162,638,138,0,143,1,en
,,646,157,640,169,652,145,0,144,1,en
s,677,150,671,162,683,138,0,146,1,en
i,692,148,686,160,698,136,0,147,1,en
n,707,150,701,162,713,138,0,148,1,en
c,722,150,716,162,728,138,0,149,1,en
e,738,150,732,162,744,138,0,150,1,en
h,767,147,761,159,773,135,0,152,1,en
e,783,150,777,162,789,138,0,153,1,en
l,812,147,806,159,818,135,0,155,1,en
o,827,150,821,162,833,138,0,156,1,en
o,842,150,836,162,848,138,0,157,1,en
k,857,147,851,159,863,135,0,158,1,en
s,872,150,866,162,878,138,0,159,1,en
t,902,148,896,160,908,136,0,161,1,en
o,917,150,911,162,923,138,0,162,1,en
t,947,148,941,160,953,136,0,164,1,en
h,962,147,956,159,968,135,0,165,1,en
e,978,150,972,162,984,138,0,166,1,en
f,1007,147,1001,159,1013,135,0,168,1,en
u,1022,150,1016,162,1028,138,0,169,1,en
t,1037,148,1031,160,1043,136,0,170,1,en
u,1052,150,1046,162,1058,138,0,171,1,en
r,1069,150,1063,162,1075,138,0,172,1,en
e,1083,150,1077,162,1089,138,0,173,1,en
a,1113,150,1107,162,1119,138,0,175,1,en
n,1127,150,1121,162,1133,138,0,176,1,en
d,1142,147,1136,159,1148,135,0,177,1,en
t,1172,148,1166,160,1178,136,0,179,1,en
o,1187,150,1181,162,1193,138,0,180,1,en
t,1217,148,1211,160,1223,136,0,182,1,en
h,1232,147,1226,159,1238,135,0,183,1,en
e,1248,150,1242,162,1254,138,0,184,1,en
p,1278,153,1272,165,1284,141,0,186,1,en
a,1293,150,1287,162,1299,138,0,187,1,en
s,1307,150,1301,162,1313,138,0,188,1,en
t,1322,148,1316,160,1328,136,0,189,1,en
.,1337,155,1331,167,1343,143,0,190,1,en
J,1367,148,1361,160,1373,136,0,192,1,en
a,1383,150,1377,162,1389,138,0,193,1,en
n,1397,150,1391,162,1403,138,0,194,1,en
u,1412,150,1406,162,1418,138,0,195,1,en
s,1427,150,1421,162,1433,138,0,196,1,en
p,1458,153,1452,165,1464,141,0,198,1,en
r,1474,150,1468,162,1480,138,0,199,1,en
e,1488,150,1482,162,1494,138,0,200,1,en
s,1502,150,1496,162,1508,138,0,201,1,en
i,1517,148,1511,160,1523,136,0,202,1,en
d,1532,147,1526,159,1538,135,0,203,1,en
e,1548,150,1542,162,1554,138,0,204,1,en
d,1562,147,1556,159,1568,135,0,205,1,en
o,1592,150,1586,162,1598,138,0,207,1,en
v,1607,150,1601,162,1613,138,0,208,1,en
e,1623,150,1617,162,1629,138,0,209,1,en
r,1639,150,1633,162,1645,138,0,210,1,en
t,1667,148,1661,160,1673,136,0,212,1,en
h,1682,147,1676,159,1688,135,0,213,1,en
e,1698,150,1692,162,1704,138,0,214,1,en
b,108,196,102,208,114,184,0,216,1,en
